"file_name","habitat","site","predator_cue","flight_present","year","species","tree_cover"
"01140041_Bushbuck.AVI","Open","J03","Cheetah",0,2021,"Bushbuck",13.8391984617133
"07250011_Oribi.AVI","Closed","L11","Cheetah",0,2024,"Bushbuck",28.2313591038782
"07260009_Bushbuck.AVI","Closed","D05","Lion",0,2021,"Bushbuck",40.364030874023
"2021_D09_06280020_Bushbuck.AVI","Closed","D09","WildDog",0,2021,"Bushbuck",41.9782967725317
"2021_D09_07220030_Bushbuck.AVI","Closed","D09","WildDog",0,2021,"Bushbuck",23.2852534292885
"2021_D09_07260006_Bushbuck.AVI","Closed","D09","Leopard",0,2021,"Bushbuck",31.8210805232563
"2021_D09_08110013_Bushbuck.AVI","Closed","D09","Lion",0,2021,"Bushbuck",23.9144775238998
"2021_E02_07050031_Bushbuck.AVI","Open","E02","Cheetah",0,2021,"Bushbuck",34.3709358950491
"2021_E02_07050033_Bushbuck.AVI","Open","E02","WildDog",0,2021,"Bushbuck",32.8472754856995
"2021_E02_07090045_Bushbuck.AVI","Open","E02","WildDog",0,2021,"Bushbuck",28.0279094039447
"2021_E02_07120010_Bushbuck.AVI","Open","E02","Lion",0,2021,"Bushbuck",38.1219307764867
"2021_E02_07120011_Bushbuck.AVI","Open","E02","Leopard",0,2021,"Bushbuck",30.0779370379213
"2021_E02_07170056_Bushbuck.AVI","Open","E02","Leopard",0,2021,"Bushbuck",43.3340569209643
"2021_E02_07270029_Bushbuck.AVI","Open","E02","Cheetah",0,2021,"Bushbuck",38.7210253413909
"2021_E02_07270030_Bushbuck.AVI","Open","E02","Cheetah",0,2021,"Bushbuck",32.9032659514242
