file_name,habitat,site,predator_cue,year,proportion_vigilant,tree_cover
07150082_Warthog.AVI,Open,J13,Cheetah,2021,0.255530973,71.52942432
07150096_Impala.AVI,Closed,I06,Cheetah,2021,0,42.24797699
07150100_Impala.AVI,Closed,I06,Cheetah,2021,0.32781457,25.97676949
07160070_Waterbuck.AVI,Open,J03,Cheetah,2021,1,68.00514496
07160078_Waterbuck.AVI,Open,J03,Cheetah,2021,0.942800789,43.30847448
07160080_Waterbuck.AVI,Open,J03,Cheetah,2021,0.5393134,52.55462759
07160091_Oribi.AVI,Open,J13,Cheetah,2021,1,33.52340301
07160099_Warthog.AVI,Open,J13,Cheetah,2021,0,77.33762954
07160112_Waterbuck.AVI,Closed,I06,Cheetah,2021,0.913525499,18.37288751
07160159_Waterbuck.AVI,Open,I04,Cheetah,2021,0.164215686,18.73239375
07160179_Waterbuck.AVI,Open,I04,Cheetah,2021,1,62.61800294
07170024_Waterbuck.AVI,Open,N11,Cheetah,2021,0.800595238,44.28101157
07170117_Waterbuck.AVI,Closed,I06,Cheetah,2021,0.624423963,33.34864626
07170125_Impala.AVI,Closed,I06,Cheetah,2021,0.566850829,49.58755217
07170217_Waterbuck.AVI,Open,I04,Cheetah,2021,0.335540839,70.42814732
07180022_Warthog.AVI,Open,F01,Cheetah,2024,0.72866242,25.29078538
07180032_Waterbuck.AVI,Closed,I10,Cheetah,2021,0,69.44353426
07180063_Oribi.AVI,Open,E02,Cheetah,2021,0.988913525,19.9035477
07180115_Warthog.AVI,Open,J13,Cheetah,2021,0.830427892,58.35699676
07180248_Waterbuck.AVI,Open,I04,Cheetah,2021,0.479289941,55.48946784
07190026_Waterbuck.AVI,Closed,G08,Cheetah,2021,0.79739777,33.95477797
07190031_Waterbuck.AVI,Open,N11,Cheetah,2021,0,53.47448916
07190056_Warthog.AVI,Open,N10,Cheetah,2021,0.881355932,54.90727251
07190063_Reedbuck.AVI,Open,N10,Cheetah,2021,0.631929047,55.23891163
07190072_Waterbuck.AVI,Open,E02,Cheetah,2021,0,28.2902847
07190113_Waterbuck.AVI,Open,J03,Cheetah,2021,1,22.91085028
07190277_Waterbuck.AVI,Open,I04,Cheetah,2021,1,35.1056615
07200015_Waterbuck.AVI,Closed,L11,Cheetah,2021,0,56.22771216
07200026_Waterbuck.AVI,Closed,D09,Cheetah,2021,0,37.09699751
07200031_Warthog.AVI,Open,F01,Cheetah,2024,0,42.32609405
07200035_Waterbuck.AVI,Open,N11,Cheetah,2021,0.844789357,74.79516625
07200073_Waterbuck.AVI,Open,E02,Cheetah,2021,0.304878049,34.85451296
07200134_Waterbuck.AVI,Open,J03,Cheetah,2021,0,43.53858658
07210141_Warthog.AVI,Open,J13,Cheetah,2021,0.521912351,35.69146732
07210145_Waterbuck.AVI,Open,J03,Cheetah,2021,0.831491713,19.1981614
07220002_Warthog.AVI,Open,J13,Cheetah,2021,0.171779141,31.28488805
07220005_Waterbuck.AVI,Open,J03,Cheetah,2021,1,44.95089237
07220050_Warthog.AVI,Open,F01,Cheetah,2024,0.492941176,42.18010089
07220147_Waterbuck.AVI,Open,J03,Cheetah,2021,0.992230855,29.39572274
07220170_Waterbuck.AVI,Open,J13,Cheetah,2021,0,80.75603001
07220300_Waterbuck.AVI,Open,I04,Cheetah,2021,0,61.44401406
07230008_Waterbuck.AVI,Open,I04,Cheetah,2021,0.861618799,45.44120997
07230009_Waterbuck.AVI,Open,I04,Cheetah,2021,0.113402062,32.18061045
07240069_Impala.AVI,Open,F07,Cheetah,2021,0.360277136,78.39621971
07250011_Oribi.AVI,Closed,L11,Cheetah,2024,1,31.01876614
07250013_Warthog.AVI,Closed,I08,Cheetah,2021,1,53.45084648
07250040_Waterbuck.AVI,Open,I04,Cheetah,2021,0.863453815,58.10814472
07260020_Oribi.AVI,Open,E02,Cheetah,2021,0,41.5195162
07260087_Waterbuck.AVI,Open,J03,Cheetah,2021,1,30.41078802
07260097_Waterbuck.AVI,Open,J03,Cheetah,2021,0,31.13648182
07270028_Waterbuck.AVI,Open,N10,Cheetah,2021,1,70.51291053
07270055_Warthog.AVI,Open,J13,Cheetah,2021,0,27.57884219
07270098_Warthog.AVI,Open,F07,Cheetah,2021,0.190721649,74.51975192
07270124_Waterbuck.AVI,Open,J03,Cheetah,2021,0,34.34854384
07270135_Waterbuck.AVI,Open,J03,Cheetah,2021,0.17920354,26.26174147
07280008_Waterbuck.AVI,Closed,G08,Cheetah,2021,0.547368421,14.66618766
07280028_Waterbuck.AVI,Closed,I08,Cheetah,2024,0.910144928,13.12604296
07280060_Waterbuck.AVI,Open,J13,Cheetah,2021,0,65.04883694
07280067_Warthog.AVI,Open,F07,Cheetah,2024,0.602058319,28.6077478
07280073_Waterbuck.AVI,Open,I04,Cheetah,2021,0,29.65142601
07280144_Waterbuck.AVI,Open,J03,Cheetah,2021,1,62.33564124
07280157_Waterbuck.AVI,Open,J03,Cheetah,2021,0.253052164,48.75334615
07290053_Waterbuck.AVI,Open,N11,Cheetah,2021,0,58.96808628
07290076_Warthog.AVI,Open,F07,Cheetah,2024,0.718894009,51.1415071
07290189_Waterbuck.AVI,Open,J03,Cheetah,2021,0,72.70650941
07300050_Warthog.AVI,Open,N10,Cheetah,2021,0.559055118,78.24527326
07300078_Oribi.AVI,Open,E02,Cheetah,2021,0.397802198,75.17206779
07300172_Impala.AVI,Open,F07,Cheetah,2021,0.556923077,57.10838446
07300199_Waterbuck.AVI,Open,J03,Cheetah,2021,0,57.79315291
07300207_Waterbuck.AVI,Open,J03,Cheetah,2021,0,20.30606227
07300219_Waterbuck.AVI,Open,J03,Cheetah,2021,0.122807018,17.2323886
07310005_Warthog.AVI,Open,F01,Cheetah,2024,1,39.80732477
07310036_Warthog.AVI,Closed,I08,Cheetah,2021,1,27.57008797
07310116_Warthog.AVI,Closed,E08,Cheetah,2024,0,38.53784178
07310238_Waterbuck.AVI,Open,J03,Cheetah,2021,0,17.52142649
07310240_Waterbuck.AVI,Open,J03,Cheetah,2021,1,67.78397984
07310242_Waterbuck.AVI,Open,J03,Cheetah,2021,0,42.90895991
08010003_Waterbuck.AVI,Open,N11,Cheetah,2024,0.363363363,32.76802885
08010013_Waterbuck.AVI,Closed,G08,Cheetah,2021,0.971175166,71.47927998
08010035_Warthog.AVI,Closed,G06,Cheetah,2021,0,51.1439736
08010058_Waterbuck.AVI,Open,N10,Cheetah,2021,0.612831858,36.15841999
08010075_Waterbuck.AVI,Closed,L11,Cheetah,2024,0.957142857,25.46919767
08010083_Waterbuck.AVI,Open,N11,Cheetah,2021,0,40.5872938
08010091_Warthog.AVI,Closed,D05,Cheetah,2024,0.939873418,35.84487636
08010260_Waterbuck.AVI,Open,J03,Cheetah,2021,0.58401084,28.54080545
08010269_Waterbuck.AVI,Open,J03,Cheetah,2021,1,8.727990028
08010271_Waterbuck.AVI,Open,J03,Cheetah,2021,0.130671506,71.30979236
08010273_Waterbuck.AVI,Open,J03,Cheetah,2021,1,59.79355755
08020043_Waterbuck.AVI,Closed,I08,Cheetah,2021,1,40.47658677
08020116_Warthog.AVI,Open,E02,Cheetah,2021,0.238359202,74.79615571
08020125_Warthog.AVI,Open,E02,Cheetah,2021,0,40.25544689
08020283_Waterbuck.AVI,Open,J03,Cheetah,2021,0.906873614,61.99745254
08020308_Waterbuck.AVI,Open,J03,Cheetah,2021,0.311946903,66.60574566
08030004_Waterbuck.AVI,Open,J03,Cheetah,2021,0,74.73380394
08030100_Warthog.AVI,Open,N10,Cheetah,2021,0,34.04426007
08030147_Warthog.AVI,Open,F07,Cheetah,2024,0.726666667,68.46871422
08030170_Warthog.AVI,Open,N03,Cheetah,2021,0,57.60149172
08030208_Impala.AVI,Open,F07,Cheetah,2021,0.447368421,63.18704342
08030342_Waterbuck.AVI,Open,J03,Cheetah,2021,1,70.83627396
08030346_Waterbuck.AVI,Open,J03,Cheetah,2021,0,67.77703363
08040006_Warthog.AVI,Closed,I08,Cheetah,2021,0.830734967,20.84463671
08040006_Waterbuck.AVI,Open,J03,Cheetah,2021,0.721925134,57.99982024
08040019_Waterbuck.AVI,Closed,L11,Cheetah,2021,0.971270718,27.98110045
08040023_Warthog.AVI,Closed,D05,Cheetah,2024,0,24.51854901
08040028_Waterbuck.AVI,Open,J03,Cheetah,2021,0.302325581,66.58159599
08040034_Waterbuck.AVI,Open,N11,Cheetah,2024,0.589953271,55.84977924
08040036_Waterbuck.AVI,Open,J03,Cheetah,2021,0,37.72339319
08040047_Waterbuck.AVI,Open,N11,Cheetah,2024,0.9125,69.24472024
08060057_Oribi.AVI,Open,E02,Cheetah,2021,0,42.25873766
08060067_Waterbuck.AVI,Open,J03,Cheetah,2021,0.211453744,63.7959093
08060189_Warthog.AVI,Open,F07,Cheetah,2024,0.462006079,18.03955258
08060238_Impala.AVI,Open,F07,Cheetah,2021,0,54.41774807
08070010_Warthog.AVI,Closed,I08,Cheetah,2021,0.343653251,71.4771062
08070013_Warthog.AVI,Closed,I08,Cheetah,2021,0,67.54644317
08070018_Warthog.AVI,Open,N03,Cheetah,2021,0.579896907,51.14459853
08070062_Waterbuck.AVI,Open,N11,Cheetah,2024,1,67.0518187
08080016_Waterbuck.AVI,Closed,G08,Cheetah,2021,0.30952381,36.02015813
08080088_Oribi.AVI,Open,E02,Cheetah,2021,0.931263858,53.60796438
08080102_Waterbuck.AVI,Open,J03,Cheetah,2021,0.940104167,70.56755182
08080111_Waterbuck.AVI,Open,J03,Cheetah,2021,0.76142132,29.91657673
08080122_Waterbuck.AVI,Open,J03,Cheetah,2021,0.54676259,32.96875441
08090064_Warthog.AVI,Open,J13,Cheetah,2021,0,27.05123362
08090073_Waterbuck.AVI,Open,J13,Cheetah,2021,0.943396226,33.62209314
08090120_Impala.AVI,Open,E02,Cheetah,2021,0.555555556,48.4934346
08090132_Waterbuck.AVI,Open,J03,Cheetah,2021,1,28.65489267
08090134_Waterbuck.AVI,Open,J03,Cheetah,2021,1,59.57277655
08090144_Waterbuck.AVI,Open,J03,Cheetah,2021,0,32.32428249
08090305_Impala.AVI,Open,F07,Cheetah,2021,0.165005537,52.08959071
08100009_Waterbuck.AVI,Open,N11,Cheetah,2021,1,37.11155874
08100010_Impala.AVI,Closed,I10,Cheetah,2021,0.391304348,75.87120421
08100016_Waterbuck.AVI,Closed,D05,Cheetah,2021,1,60.69225845
08100083_Warthog.AVI,Open,J13,Cheetah,2021,0.239316239,35.97039844
08100157_Waterbuck.AVI,Open,J03,Cheetah,2021,0.05210643,37.84792131
08100165_Waterbuck.AVI,Open,J03,Cheetah,2021,0.454545455,72.01438583
08100167_Waterbuck.AVI,Open,J03,Cheetah,2021,0.643598616,57.64492603
08100169_Waterbuck.AVI,Open,J03,Cheetah,2021,0,2.662620976
08100177_Waterbuck.AVI,Open,J03,Cheetah,2021,0.608391608,37.48475354
08110051_Warthog.AVI,Open,F07,Cheetah,2024,0.671856287,55.97776636
08110057_Warthog.AVI,Open,N10,Cheetah,2021,0.524283935,19.43356401
08110100_Warthog.AVI,Open,J13,Cheetah,2021,0.565217391,41.54672435
08110146_Bushpig.AVI,Closed,L11,Cheetah,2024,0.657836645,35.59599231
08110148_Impala.AVI,Open,E02,Cheetah,2021,0,75.98635469
08110153_Waterbuck.AVI,Closed,L11,Cheetah,2024,0.194630872,65.46460737
08110157_Impala.AVI,Open,E02,Cheetah,2021,0,38.8566181
08110238_Waterbuck.AVI,Open,J03,Cheetah,2021,0.62195122,27.82110346
08120046_Warthog.AVI,Closed,G06,Cheetah,2021,0.220248668,80.83934718
08120101_Waterbuck.AVI,Open,N11,Cheetah,2024,0.587548638,53.20161432
08120111_Warthog.AVI,Open,J13,Cheetah,2021,0,38.29440765
08120121_Warthog.AVI,Open,J13,Cheetah,2021,0,70.21657303
08120164_Oribi.AVI,Open,E02,Cheetah,2021,0.716049383,44.75479636
08120173_Oribi.AVI,Open,E02,Cheetah,2021,0.951219512,27.2326137
08120247_Waterbuck.AVI,Open,J03,Cheetah,2021,0.688679245,63.85929249
08120266_Waterbuck.AVI,Open,J03,Cheetah,2021,0,7.679968531
08120268_Waterbuck.AVI,Open,J03,Cheetah,2021,1,22.84132807
08120270_Waterbuck.AVI,Open,J03,Cheetah,2021,0.689054726,28.23896364
08120279_Waterbuck.AVI,Open,J03,Cheetah,2021,0.372599232,22.66072788
08120305_Waterbuck.AVI,Open,J03,Cheetah,2021,1,37.66529693
08120347_Warthog.AVI,Open,F07,Cheetah,2021,0.329646018,41.79738319
08130070_Waterbuck.AVI,Open,N10,Cheetah,2021,0.899336283,20.73269257
08130108_Waterbuck.AVI,Open,N11,Cheetah,2024,0.26439483,23.61248048
08130331_Waterbuck.AVI,Open,J03,Cheetah,2021,1,38.11470947
08130364_Waterbuck.AVI,Open,J03,Cheetah,2021,0.230769231,61.92297048
08130372_Waterbuck.AVI,Open,J03,Cheetah,2021,1,66.65615171
08130376_Impala.AVI,Open,F07,Cheetah,2021,0.690201729,29.90765312
08140053_Waterbuck.AVI,Closed,G06,Cheetah,2021,0.800699301,15.58377233
08140078_Warthog.AVI,Open,F07,Cheetah,2024,0,72.43772748
08140087_Waterbuck.AVI,Open,N10,Cheetah,2021,0.600543478,39.62923594
08140116_Waterbuck.AVI,Open,N11,Cheetah,2024,0.466666667,41.69530253
08140121_Waterbuck.AVI,Open,N11,Cheetah,2024,0.983627204,60.82534299
08140193_Impala.AVI,Open,E02,Cheetah,2021,0.129711752,24.73836358
08140375_Waterbuck.AVI,Open,J03,Cheetah,2021,0.915178571,32.47048471
08140377_Waterbuck.AVI,Open,J03,Cheetah,2021,1,26.39336061
08140396_Waterbuck.AVI,Open,J03,Cheetah,2021,0,58.25862316
08140404_Waterbuck.AVI,Open,J03,Cheetah,2021,0,21.99602911
08140408_Waterbuck.AVI,Open,J03,Cheetah,2021,1,67.7364361
08150135_Waterbuck.AVI,Open,N11,Cheetah,2024,0.885579937,52.98972178
08150201_Warthog.AVI,Open,E02,Cheetah,2021,0.388274336,29.70210976
08150406_Warthog.AVI,Open,F07,Cheetah,2021,0.820199778,43.1481136
08150427_Waterbuck.AVI,Open,J03,Cheetah,2021,0.228070175,51.5719063
08150440_Waterbuck.AVI,Open,J03,Cheetah,2021,0.927007299,31.90888227
08160031_Waterbuck.AVI,Open,N11,Cheetah,2021,0.440677966,67.49670328
08160081_Warthog.AVI,Closed,D05,Cheetah,2024,0.964218456,53.34288018
08160205_Oribi.AVI,Open,E02,Cheetah,2021,0.829268293,32.55173552
08160238_Waterbuck.AVI,Closed,L11,Cheetah,2024,0.983353151,24.40649687
08160468_Waterbuck.AVI,Open,J03,Cheetah,2021,0.713043478,24.04759672
08160471_Waterbuck.AVI,Open,J03,Cheetah,2021,0,31.67766277
08170085_Warthog.AVI,Closed,D05,Cheetah,2024,0,45.0070739
08190251_Warthog.AVI,Open,E02,Cheetah,2024,0.695167286,24.02893397
08190313_Bushpig.AVI,Closed,L11,Cheetah,2024,0.109375,54.61508537
08200154_Warthog.AVI,Open,F07,Cheetah,2024,0.490566038,28.41844706
08200318_Waterbuck.AVI,Closed,L11,Cheetah,2024,1,46.46805875
2021_D05_07010022_Nyala.AVI,Closed,D05,Cheetah,2021,0.098017621,67.79823893
2021_D05_07030005_Impala.AVI,Closed,D05,Cheetah,2021,1,31.51957022
2021_D05_08170038_Kudu.AVI,Closed,D05,Cheetah,2021,1,16.16762874
2021_D09_07110009_Waterbuck.AVI,Closed,D09,Cheetah,2021,0.919917864,31.26758164
2021_D09_07240037_Waterbuck.AVI,Closed,D09,Cheetah,2021,1,39.56084385
2021_D09_08030028_Waterbuck.AVI,Closed,D09,Cheetah,2021,0.970033296,30.65717583
2021_D09_08090006_Nyala.AVI,Closed,D09,Cheetah,2021,0,67.24562467
2021_E02_07020005_Warthog.AVI,Open,E02,Cheetah,2021,0.74289246,63.40547395
2021_E02_07050031_Bushbuck.AVI,Open,E02,Cheetah,2021,0,26.15418588
2021_E02_07230012_Waterbuck.AVI,Open,E02,Cheetah,2021,0.210526316,47.26102181
2021_E02_07270029_Bushbuck.AVI,Open,E02,Cheetah,2021,0,19.31008213
2021_E02_07270030_Bushbuck.AVI,Open,E02,Cheetah,2021,1,30.01982898
2021_E02_07280034_Waterbuck.AVI,Open,E02,Cheetah,2021,0,23.01138048
2021_E02_08010108_Bushbuck.AVI,Open,E02,Cheetah,2021,0.285714286,50.87841737
2021_E02_08050013_Bushbuck.AVI,Open,E02,Cheetah,2021,0.900221729,49.44435418
2021_E02_08060049_Impala.AVI,Open,E02,Cheetah,2021,0.8956743,10.28461805
2021_E02_08080092_Waterbuck.AVI,Open,E02,Cheetah,2021,0.822869955,54.2944232
2021_E02_08090109_Impala.AVI,Open,E02,Cheetah,2021,0,37.78657916
2021_E02_08130177_Waterbuck.AVI,Open,E02,Cheetah,2021,0.966740576,55.01118398
2021_F03_08020012_Waterbuck.AVI,Open,F03,Cheetah,2021,1,54.13388596
